what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281643797122
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281643800815
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281643805273
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281643811368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281643823620
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281643824187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281643839747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281643857907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645168557
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645247457
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281645250764
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281645274376
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281645275924
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281645275970
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281645275991
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281645276008
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281645276026
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281645276045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645288377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645381745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645396996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645424081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281645449964
